"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","LOPO_median_logFC","LOPO_min_logFC","LOPO_max_logFC","Direction_consistent","Abs_DiD_logFC","Abs_Delta_logFC"
"REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM",-0.480758679270918,0.164156838752369,0.998866289809968,-0.480758679270918,0.0510819411143247,0.487587730795043,9,1,-0.471942819477267,-0.847945079764169,-0.131241567075318,TRUE,0.480758679270918,0.480758679270918
"REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN",-0.335610676282325,0.114700808018512,0.998866289809968,-0.335610676282325,0.0536128734836729,0.503720953104061,9,1,-0.323799527628056,-0.498449801878642,-0.2210018076829,TRUE,0.335610676282325,0.335610676282325
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",-0.350706279994873,0.141426426091984,0.998866289809968,-0.350706279994873,0.0650775682092892,0.534022879194198,9,1,-0.363860893955011,-0.580105942369952,-0.202258017412735,TRUE,0.350706279994873,0.350706279994873
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS",0.453278453314701,0.0947197054976503,0.998866289809968,0.453278453314701,0.0655540627685719,0.534022879194198,9,1,0.48291708888659,0.282480576770964,0.557888672661491,TRUE,0.453278453314701,0.453278453314701
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.357867634387974,0.0949765402597412,0.998866289809968,0.357867634387974,0.0673419926190661,0.542408061445904,9,1,0.346830162145732,0.16160389117969,0.581600719757255,TRUE,0.357867634387974,0.357867634387974
"REACTOME_EICOSANOIDS",-0.444998310224278,0.109658551366243,0.998866289809968,-0.444998310224278,0.0695172925239816,0.542408061445904,9,1,-0.450554507720559,-0.592526326325928,-0.299668018952765,TRUE,0.444998310224278,0.444998310224278
"REACTOME_FRS_MEDIATED_FGFR3_SIGNALING",-0.312269474342204,0.132717705835915,0.998866289809968,-0.312269474342203,0.0777949930907292,0.542408061445904,9,1,-0.289883256522153,-0.526508004210001,-0.196300530808871,TRUE,0.312269474342204,0.312269474342203
"REACTOME_METHYLATION",-0.400031401203331,0.135605207933966,0.998866289809968,-0.400031401203331,0.0792563065039776,0.542408061445904,9,1,-0.405099081807258,-0.577273869362121,-0.217721252440614,TRUE,0.400031401203331,0.400031401203331
"REACTOME_PHOSPHOLIPID_METABOLISM",0.259101252377064,0.104087545847167,0.998866289809968,0.259101252377064,0.0915198381947829,0.549962891903136,9,1,0.260252713174902,0.202874279884242,0.368991817453061,TRUE,0.259101252377064,0.259101252377064
"REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY",-0.37019427079185,0.184699223975414,0.998866289809968,-0.37019427079185,0.110097477978603,0.571107392895887,9,1,-0.360433304772048,-0.658396796096931,-0.163749416177108,TRUE,0.37019427079185,0.37019427079185
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",0.302679145667563,0.16824621920357,0.998866289809968,0.302679145667563,0.113690757687386,0.572546655713676,9,1,0.279283732003148,0.112806426090828,0.531303553543605,TRUE,0.302679145667563,0.302679145667563
"REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION",0.265427958853442,0.200154634057841,0.998866289809968,0.265427958853442,0.131097836821742,0.592194153644205,9,1,0.261827358672364,0.1448631180603,0.474004544996751,TRUE,0.265427958853442,0.265427958853442
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",0.309749157444805,0.205957346192543,0.998866289809968,0.309749157444806,0.168280758227516,0.639261781015954,9,1,0.285768638645963,0.112213218989192,0.471662786037736,TRUE,0.309749157444805,0.309749157444806
"REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10",0.293740127573496,0.267528733690287,0.998866289809968,0.293740127573495,0.1748100604582,0.640858613619496,9,1,0.307215399079294,0.0876826899824506,0.574401906058772,TRUE,0.293740127573496,0.293740127573495
