feature,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL
HALLMARK_MTORC1_SIGNALING,-0.026230790124876252,0.37481862770434443,-0.28768868917679086,-0.2729157335411204,0.3637672988488535,0.34201034678317005,0.29673178159092434,0.3611210668242213,0.41140124027399455,0.40713481518348205,-0.32084250820495264,-0.09497950605912348,-0.333626928111107,-0.06393385234940324,0.1382163050520092,-0.4139116771597614,-0.35427513624517576,-0.28910338038833727
HALLMARK_MYC_TARGETS_V1,-0.2558407531794315,0.5651204878042113,-0.31980670187491383,-0.23555934411236307,0.39855038833444706,0.40099989580722006,0.26858111497059867,0.34899003674569223,0.6176574458338318,0.3631414120658809,-0.3027066907149037,-0.1657441050256792,-0.28445075729766217,-0.29438006137808775,0.13060627969192595,-0.515353650747252,-0.4364358776922395,-0.4302966692440436
HALLMARK_MYC_TARGETS_V2,-0.1881948920967467,0.412631862908212,-0.402228200707088,0.1881201318918984,0.034012867395887436,0.19049207825356534,-0.010459052427778004,0.2098813064623648,0.6886029195005828,0.037794457848072394,-0.32991270814220297,-0.10276242465218677,0.1563083586772877,0.14764933106411893,-0.050233925133932794,-0.5725627864278825,-0.2561538217357833,-0.34246672574091314
HALLMARK_MYOGENESIS,-0.18536079512581524,-0.31313512065254884,-0.19806880555282638,-0.12482068787662559,0.2064832169040235,0.190328510370964,-0.14464441931878586,-0.2117479353411233,-0.3391584020194017,-0.3062927586346382,0.1735309962109139,0.11791969568476854,0.12953686111080956,0.1888745772067975,0.26913469199799434,0.2914003258839192,0.010795483248321136,0.29438679842390403
HALLMARK_NOTCH_SIGNALING,-0.15360361236071127,-0.29242006699588197,-0.1569765290139577,-0.19488731716048074,0.2841069342696981,0.3747079060041559,-0.005504449933328548,-0.15083059252755351,-0.11626887770853617,-0.09688418878954483,-0.03779080622044745,0.27738747004059866,0.0059634248346362995,0.2969265501625961,0.13178977073122672,0.006307741754954521,-0.20031213843355783,0.30402470274424914
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.18568875907278853,0.4798857078640911,-0.22828064027028877,-0.26199185629480104,0.30664041273320797,0.23910429628682828,0.43570458021455827,0.3629769068300046,0.48166435462275503,0.4111393886935532,-0.31189516561024977,-0.18585059449864985,-0.3334657576716428,-0.2376407118061734,0.2697903052517822,-0.28937498087644925,-0.4939586129110686,-0.48278835581957835
HALLMARK_P53_PATHWAY,0.0650650582514988,0.056948668123108726,-0.3653100201321006,-0.3045875711103971,0.26721684135167345,0.03085023431891426,0.16997451631772514,0.12063155475646681,-0.008884203244546446,0.08545533163726357,-0.18780891836034944,-0.027572460762777085,0.13597385593613975,0.3615934216777459,0.13567384601359384,-0.19536340764041737,-0.2368272479912294,-0.0961792397989244
HALLMARK_PANCREAS_BETA_CELLS,0.045366009856523004,0.03538339190586359,-0.20120827858374574,0.2584956051492922,-0.15613751704097537,0.2070013700822379,0.008537902355236549,-0.22582897806704,0.1973111018399787,-0.15126113222919813,-0.26000945292055155,0.25924395644446374,-0.060739763139334296,-0.1353605514777174,0.23306376450619948,0.1897615279164126,-0.05200899577968501,-0.3048337250809863
HALLMARK_PEROXISOME,-0.025719763149765096,-0.12475224629538739,-0.14069980836379842,0.01546200020063343,0.20815120573156864,0.12372376862707107,0.07880142717306798,0.3083047537633628,0.12017536099404458,0.23851387236216703,-0.03797703725774404,-0.11037699731331138,-0.042184173169235506,-0.08794327977702485,0.2532984417347165,-0.10473288238412687,-0.17338096109107665,-0.3341709669053424
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.14797906853047058,0.14951227198381695,-0.16640731024562586,-0.19967025554174211,0.3925518058941951,0.2945030698010894,0.048676268616490936,0.03426637186038309,0.08137364647125478,-0.09072893769022305,-0.08282228152713311,-0.03943257040979564,-0.03462770796422304,0.1527516346040606,0.039783615108447995,-0.22373250866672323,-0.1649712542903283,-0.07229508010557695
